iter	MAE	RMSE
0	0.2384831559	0.275625999
1	0.2277374835	0.2640036011
2	0.2186099887	0.2536910662
3	0.2088861626	0.2438732287
4	0.2000375193	0.2340143504
5	0.1915864988	0.224505679
6	0.1834072323	0.2153973742
7	0.1756348424	0.2074254272
8	0.1682079773	0.1996508895
9	0.1610100712	0.1910475488
10	0.154237666	0.1835754704
11	0.1474361416	0.175777198
12	0.1413982289	0.1686863799
13	0.1358958124	0.1625389991
14	0.1303300258	0.1564557213
15	0.1250185693	0.1503060812
16	0.1197137186	0.1443308309
17	0.1147517659	0.1388610209
18	0.1102704252	0.1336037699
19	0.1056496178	0.1280751882
20	0.1011752893	0.1227399941
21	0.09721223082	0.1181836149
22	0.09359160087	0.1139032751
23	0.09008192335	0.1096343545
24	0.08678926311	0.1057907287
25	0.08328229786	0.101613157
26	0.08012108108	0.09776012149
27	0.07707270002	0.09401074598
28	0.07425145376	0.09085977567
29	0.07176517229	0.08777086772
30	0.06906651817	0.08456092703
31	0.06660644674	0.08174320556
32	0.06410398078	0.07875980173
33	0.06188773388	0.07607761238
34	0.05991957854	0.07376105619
35	0.05803390303	0.07150365547
36	0.05603918892	0.06912574984
37	0.05411895586	0.06688870843
38	0.05251041308	0.06496299882
39	0.05082341681	0.06308790833
40	0.04924383422	0.06117373744
41	0.04787642353	0.05949772547
42	0.04642017198	0.05766493916
43	0.04509446513	0.05609922133
44	0.04404187868	0.05477421747
45	0.04289612569	0.05340849209
46	0.0417494602	0.0520163417
47	0.04073200683	0.05076716582
48	0.03985421111	0.04969676335
49	0.03888373386	0.04857919518
50	0.03803632167	0.04751183758
51	0.03728302747	0.04650533543
52	0.03653732529	0.04552435151
53	0.03592955228	0.04475338241
54	0.03525146294	0.04382963857
55	0.03469122691	0.04301702439
56	0.0341673321	0.04227586681
57	0.03358102814	0.04146746372
58	0.03302038115	0.04072376347
59	0.03255276614	0.04004942008
60	0.03214857966	0.039504737
61	0.03171284505	0.03892489562
62	0.03129087952	0.0383474937
63	0.0308749124	0.03778686749
64	0.0305351854	0.03733434717
65	0.0301411759	0.0368082769
66	0.02981886551	0.03638139292
67	0.02947791974	0.03595186443
68	0.02914200684	0.03550349606
69	0.02882417012	0.03509250293
70	0.02856378783	0.03479858017
71	0.02826685212	0.03444175253
72	0.02804567289	0.03416970167
73	0.0277852148	0.03385462926
74	0.02756863083	0.03360404467
75	0.0273546607	0.03334639599
76	0.02714309841	0.03310371979
77	0.02692876443	0.03286813882
78	0.02673537946	0.03266861896
79	0.02653739598	0.03244286457
80	0.02629147388	0.03219864724
81	0.02608546332	0.03199146307
82	0.02591614741	0.03180493638
83	0.02572753734	0.03161689102
84	0.02555993436	0.03146422768
85	0.0253873608	0.03128435896
86	0.02521728957	0.03112018566
87	0.02505500977	0.03093865467
88	0.02491557568	0.0308059554
89	0.02481695962	0.03067469829
90	0.02469267532	0.03055295994
91	0.02455921666	0.03043772381
92	0.02443025788	0.03033345271
93	0.02431360385	0.03023626453
94	0.02417577166	0.03009743807
95	0.02403097721	0.02998237417
96	0.02392128343	0.02988754753
97	0.02382439859	0.02979082032
98	0.023671258	0.02966319778
99	0.02356976813	0.02954697476
100	0.02347498637	0.0294394292
101	0.02338164487	0.02935286563
102	0.02325696862	0.0292142105
103	0.02313494471	0.02911163327
104	0.02304516187	0.02903176875
105	0.02298370206	0.02894536091
106	0.02292116205	0.02887685668
107	0.02283264561	0.02880551383
108	0.02277063008	0.02873214563
109	0.02271810682	0.02866129234
110	0.02266465258	0.02859232908
111	0.02258015379	0.02851765216
112	0.02250751477	0.02844818336
113	0.02242326113	0.02837457644
114	0.02234112798	0.0283096713
115	0.02224224599	0.02819134835
116	0.02215814329	0.02811992815
117	0.0221201442	0.02807550473
118	0.0220679111	0.02803884337
119	0.02197839886	0.02795118273
120	0.02191348575	0.02785412633
121	0.02183112272	0.02775212416
122	0.02176602344	0.02766434899
123	0.02168212246	0.02758621886
124	0.02161706624	0.02749849221
125	0.02153464957	0.02742133184
126	0.0214790669	0.02736941281
127	0.02143916331	0.02731342125
128	0.02137621565	0.02725808711
129	0.02131451569	0.02717436774
130	0.02125723662	0.02711396382
131	0.02117549735	0.02701419287
132	0.02111973473	0.02693852447
133	0.02105293886	0.02687928141
134	0.02098963824	0.02682537698
135	0.02093665601	0.02675376826
136	0.02087579112	0.02669721632
137	0.02081505486	0.02663719955
138	0.02077533254	0.02659879278
139	0.0207277311	0.02653198662
140	0.02068320895	0.02647763491
141	0.02063051239	0.02639286576
142	0.02059111236	0.02634871722
143	0.02053769931	0.02628417782
144	0.0204816941	0.0262178576
145	0.02044151688	0.02618289062
146	0.02034695695	0.02609404427
147	0.02027627311	0.02600863291
148	0.02018267271	0.02592494393
149	0.02014646807	0.02588120144
150	0.02008996155	0.02581837414
151	0.02003561509	0.0257649773
152	0.01997094371	0.02569163744
153	0.01991286808	0.02561773267
154	0.0198605111	0.02554717403
155	0.01982385297	0.02551490836
156	0.01977145647	0.02543682621
157	0.01971939106	0.02537580705
158	0.01967255428	0.02530984931
159	0.01961720184	0.02522844465
160	0.01955932468	0.02516904553
161	0.01951666758	0.02510101011
162	0.01947633586	0.02505872881
163	0.01945509398	0.02503026442
164	0.01939979452	0.0249551276
165	0.01937051494	0.02492787618
166	0.01932365745	0.02487326883
167	0.01928191692	0.02483162673
168	0.01924520408	0.02480341134
169	0.01919989258	0.02474359234
170	0.01914800073	0.02468512081
171	0.01910720471	0.02465136151
172	0.01907393456	0.02459931784
173	0.01902336198	0.02452569231
174	0.01900233995	0.02450039722
175	0.01896572945	0.02447529024
176	0.01892578627	0.02442582449
177	0.01883580924	0.02431329407
178	0.01881688176	0.02428322798
179	0.01879119321	0.02426049309
180	0.01877926646	0.02424206373
181	0.01873570006	0.02419679224
182	0.01870826352	0.02417363347
183	0.0186755132	0.02413830821
184	0.01863661024	0.02409271915
185	0.01860641316	0.02407140009
186	0.01856088135	0.02402859171
187	0.01850113462	0.02395259996
188	0.01845321847	0.02391599646
189	0.01839224602	0.02385684886
190	0.01835839365	0.02381272672
191	0.01834840307	0.02380362249
192	0.01831731027	0.02377782197
193	0.01830368225	0.02375591996
194	0.01825231721	0.02367335856
195	0.01823214754	0.02365430837
196	0.01818680786	0.02359622918
197	0.01814062113	0.02352499289
198	0.01811480114	0.02350480283
199	0.01809282484	0.02347453706
200	0.01803707215	0.02341605742
201	0.01797609651	0.02336526862
202	0.01793366909	0.02331631733
203	0.01789681339	0.02327437341
204	0.01787343818	0.02324777223
205	0.01784938615	0.02323148681
206	0.01779604908	0.02316230531
207	0.01779104008	0.0231580588
208	0.0177207959	0.02303328017
209	0.01770991645	0.02301736137
210	0.0176567267	0.02295315227
211	0.01762374985	0.02291914051
212	0.01760017912	0.02289038518
213	0.01757306165	0.02286389939
214	0.01753392657	0.02279531911
215	0.01749245522	0.02273650089
216	0.01746002269	0.02268805874
217	0.01743252966	0.02265901383
218	0.01736194279	0.02255743627
219	0.01730077113	0.02247065468
220	0.01728073594	0.02244266577
221	0.01727278068	0.0224293146
222	0.01726307569	0.02241352661
223	0.01723498192	0.02238533006
224	0.0172009196	0.02231767681
225	0.01718942664	0.02229204454
226	0.01718573797	0.02228810021
227	0.0171771689	0.02227984972
228	0.0171483562	0.02225446779
229	0.01711131768	0.02220818929
230	0.01708467786	0.0221792782
231	0.01702288835	0.02210142384
232	0.01696999909	0.02205904183
233	0.01692015784	0.02199018815
234	0.01689426281	0.02194960247
235	0.01684892164	0.02187628516
236	0.01680848484	0.02180683791
237	0.0167771962	0.02176564546
238	0.01675768634	0.02174962159
239	0.01670521492	0.02167047874
240	0.0166826442	0.02164615147
241	0.01666843937	0.02162873144
242	0.01662668051	0.02156222154
243	0.01656428111	0.02148347537
244	0.01651397026	0.02143558851
245	0.0164757276	0.02137398465
246	0.01645024162	0.02135034467
247	0.01642370243	0.02131173169
248	0.01637044314	0.02123402288
249	0.01629386701	0.02114720419
250	0.01626643997	0.02112252366
251	0.01621669823	0.0210505576
252	0.01618070745	0.02102458839
253	0.01616260987	0.02099337632
254	0.01614554607	0.02097254681
255	0.01610203493	0.02092896106
256	0.01604648069	0.02083654085
257	0.01601261404	0.02080127579
258	0.0160023288	0.02079118241
259	0.0159680543	0.02075722214
260	0.01593321449	0.02071525884
261	0.01589073245	0.02067045048
262	0.0158854937	0.02066560721
263	0.01584094291	0.02059445382
264	0.01583745208	0.02058716528
265	0.01583521443	0.02058336353
266	0.01580001855	0.02053230386
267	0.01576078187	0.02047583307
268	0.01573051233	0.02044137781
269	0.01570855964	0.02041967889
270	0.0156431156	0.02032265195
271	0.01563898862	0.02031891115
272	0.01561487792	0.02029334241
273	0.01557855671	0.02025740325
274	0.01555368506	0.0202199312
275	0.01549512978	0.02014785044
276	0.01545834635	0.0200958656
277	0.01541517454	0.02003197494
278	0.01538350331	0.01998684556
279	0.01535041878	0.01995118381
280	0.0153271109	0.01992338138
281	0.01532144795	0.01991778164
282	0.01527366443	0.01986306862
283	0.01525372527	0.01985072409
284	0.01521566526	0.01981103366
285	0.01521176831	0.01980402096
286	0.01517018109	0.01974280585
287	0.01514462483	0.01971323499
288	0.01513935511	0.01970581785
289	0.01511955038	0.01968131036
290	0.0150917224	0.01963765899
291	0.01505356512	0.01957744058
292	0.0150024576	0.01952511037
293	0.01496616737	0.01948485461
294	0.01489617337	0.01939187569
295	0.01486085459	0.0193487498
296	0.01484223269	0.01931989663
297	0.01479555653	0.01925629305
298	0.01474753005	0.0191924195
299	0.01474481611	0.01918960432
300	0.0147225218	0.01917470175
301	0.01469264576	0.01914459051
302	0.01466482143	0.01911451872
303	0.01463244611	0.0190899013
304	0.01463005997	0.01908732473
305	0.01462502112	0.01908025053
306	0.01462208071	0.01907610152
307	0.01460415532	0.01904633457
308	0.01454627159	0.01896167312
309	0.01451795139	0.01891978706
310	0.01451503052	0.01891733621
311	0.01449690227	0.01890512157
312	0.01446593663	0.01887386327
313	0.01446313982	0.0188720785
314	0.01443097255	0.01883157016
315	0.01442525814	0.01882830269
316	0.01438790952	0.0187832923
317	0.01438599645	0.01877792005
318	0.01434957558	0.01873496439
319	0.01431497045	0.01869849282
320	0.01431345499	0.01869323339
321	0.01430666254	0.01867795084
322	0.014301297	0.0186688026
323	0.01428064894	0.01864400963
324	0.01423407692	0.01859492447
325	0.01422872444	0.01858866872
326	0.01422449346	0.01858559955
327	0.01418296364	0.01852797668
328	0.01416236118	0.01851488607
329	0.01415020193	0.01850196837
330	0.01414573019	0.01849485888
331	0.0141240566	0.01847981143
332	0.01410610728	0.01846851445
333	0.01406909633	0.01841310059
334	0.01404493416	0.01838380878
335	0.01398804162	0.01832645927
336	0.01396052689	0.01829507422
337	0.01394362374	0.01828434786
338	0.01392339448	0.01825988784
339	0.01389683957	0.01821767234
340	0.01384596273	0.01813682728
341	0.01384390864	0.01813486528
342	0.01383105437	0.01812559356
343	0.01380326159	0.01809797941
344	0.01377752479	0.01805873105
345	0.01375834382	0.01803894331
346	0.01371644425	0.01798642613
347	0.01369699721	0.01795868852
348	0.01366239295	0.01790875275
349	0.01361992416	0.01784658315
350	0.0135785319	0.01778408292
351	0.01354125761	0.01773206905
352	0.01350744607	0.01768448675
353	0.01350681647	0.01768160332
354	0.01348225525	0.0176525241
355	0.01345656889	0.01761440132
356	0.01344201871	0.01759341773
357	0.01339649858	0.01752090155
358	0.0133700604	0.01749733872
359	0.01334557239	0.0174622076
360	0.01333402355	0.01744282473
361	0.01329975839	0.01740098281
362	0.01328829518	0.0173888601
363	0.01328185737	0.01737782037
364	0.01327495536	0.01737107786
365	0.01325872941	0.01734982023
366	0.01320865698	0.01726999507
367	0.01318723328	0.01724775493
368	0.01313608966	0.01716996663
369	0.01310456597	0.01713638141
370	0.01308707152	0.0171230686
371	0.01308310923	0.01711825098
372	0.013045093	0.01706198965
373	0.01302337599	0.01704702314
374	0.0129829807	0.01699428401
375	0.0129618485	0.01696257192
376	0.01294296611	0.01694092941
377	0.01290708219	0.01689813677
378	0.01289132758	0.01687594636
379	0.01287655185	0.01685819103
380	0.01287146312	0.01685150833
381	0.01284871115	0.01682747845
382	0.01281484231	0.01679394153
383	0.01280684507	0.01678644485
384	0.01277598083	0.01674148697
385	0.01275959195	0.0167185907
386	0.01274138454	0.01670769328
387	0.01271425739	0.01667997413
388	0.01267453052	0.01664696825
389	0.01265196505	0.01662185516
390	0.01261175722	0.01655934608
391	0.01260602378	0.016551316
392	0.0126024851	0.016547685
393	0.0125566418	0.01648722999
394	0.01251866732	0.01641755736
395	0.01249436062	0.01639071255
396	0.01247537926	0.01636872905
397	0.01243117656	0.01629011535
398	0.0124130954	0.01626106431
399	0.01237416693	0.01619931368
400	0.01237167207	0.01619752978
401	0.01236750723	0.01619228233
402	0.01234522841	0.0161611301
403	0.01232952327	0.01615175568
404	0.01229122713	0.01610022784
405	0.0122578852	0.01606138897
406	0.01224198104	0.01605203745
407	0.01222178191	0.01603317959
408	0.01222030457	0.01603207749
409	0.01221687899	0.01602834818
410	0.01219004533	0.01598818871
411	0.01218902689	0.01598693518
412	0.01218601701	0.01598499561
413	0.0121583462	0.01594417512
414	0.01212505429	0.01590429765
415	0.01209666654	0.01587265284
416	0.01208141467	0.0158510898
417	0.01207804084	0.01584707985
418	0.01205438549	0.01579534908
419	0.01203632509	0.01576397229
420	0.01201268554	0.01574128731
421	0.01198326926	0.01570781075
422	0.01196915061	0.01569892391
423	0.01194888872	0.01567779771
424	0.01194274459	0.01567086095
425	0.01192543297	0.01566011648
426	0.01191572772	0.01564437504
427	0.01190295774	0.01563621495
428	0.01188206822	0.01561454411
429	0.01185836467	0.01559257405
430	0.01182661926	0.01554409482
431	0.01180630755	0.01551345985
432	0.01179193885	0.01549755554
433	0.01176636065	0.01545535767
434	0.01175709478	0.01544942765
435	0.01174387971	0.01544201831
436	0.01172992456	0.01541890888
437	0.01170294309	0.01537842788
438	0.01169939843	0.01537660905
439	0.01165645763	0.01530948077
440	0.01164864423	0.01530086037
441	0.0116340686	0.01529075603
442	0.01162625265	0.01528121615
443	0.0115974522	0.01523253322
444	0.01155312995	0.01516632201
445	0.01152041592	0.01511866306
446	0.01151989962	0.01511760486
447	0.01147463329	0.01505784224
448	0.01144973282	0.01503405495
449	0.01143035757	0.01500941508
450	0.01140371133	0.01496341748
451	0.01137589948	0.01492080645
452	0.01135751797	0.01490603502
453	0.01135595605	0.01490475437
454	0.01134007083	0.01488944586
455	0.0113371602	0.01488795202
456	0.01132514288	0.01487114774
457	0.01131050196	0.01485686223
458	0.01129616907	0.01484127102
459	0.01126335179	0.01481232873
460	0.01124464699	0.0147928755
461	0.0112249793	0.01477578456
462	0.01121383906	0.01476934937
463	0.0111853636	0.01473507811
464	0.01116831908	0.01470455459
465	0.01116531243	0.0147032095
466	0.01115973145	0.01469291566
467	0.0111301989	0.01466657837
468	0.01110077585	0.01460586914
469	0.01107706655	0.01456779988
470	0.01104899621	0.01452418898
471	0.01101244445	0.01448804529
472	0.01100983501	0.01448534814
473	0.01097965094	0.01445393736
474	0.01094570733	0.01440432372
475	0.01091683252	0.01437878705
476	0.01090617447	0.01437219625
477	0.01090222362	0.01436867213
478	0.01088776809	0.01434997842
479	0.01087781245	0.01434071116
480	0.01085482137	0.01430580501
481	0.01085269976	0.01430454048
482	0.01083498202	0.01428116886
483	0.01082920198	0.01427401733
484	0.01079426991	0.01423223347
485	0.0107752712	0.01421168932
486	0.01077477477	0.01421129697
487	0.01074656642	0.01416272644
488	0.01074058003	0.01414746463
